nghi-dinh-38-2022-nd-cp-muc-luong-toi-thieu-doi-voi-nguoi-lao-dong-lam-viec-theo-hdld.doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/154245/nghi-dinh-38-2022-nd-cp-muc-luong-toi-thieu-doi-voi-nguoi-lao-dong-lam-viec-theo-hdld.doc
37.2022.ND-CP.doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/154221/37.2022.ND-CP.doc
35.2022.NĐ-CP (word)..doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/158798/35.2022.NĐ-CP (word)..doc
nghi-dinh-33-2022-nd-cp.doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/156200/nghi-dinh-33-2022-nd-cp.doc
Phụ lục đính kèm Nghị định 31-2022-NĐ-CP.docx,https://vbpl.vn/TW/Lists/vbpq/Attachments/154004/Phụ lục đính kèm Nghị định 31-2022-NĐ-CP.docx
Nghị định 31-2022-NĐ-CP.doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/154004/Nghị định 31-2022-NĐ-CP.doc
30_2022_ND-CP_514066.doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/156455/30_2022_ND-CP_514066.doc
23.2022.NĐ.CP(wodr).doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/153875/23.2022.NĐ.CP(wodr).doc
29_2022_ND-CP_511844 (1).doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/159333/29_2022_ND-CP_511844 (1).doc
Nghị định 28-2022-NĐ-CP.doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/154016/Nghị định 28-2022-NĐ-CP.doc
27.2022.NĐ.CP (wodr).doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/153884/27.2022.NĐ.CP (wodr).doc
nghi-dinh-24-2022-nd-cp-chinh-phu.doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/153604/nghi-dinh-24-2022-nd-cp-chinh-phu.doc
22_2022_ND-CP_508011.doc,https://vbpl.vn/TW/Lists/vbpq/Attachments/156486/22_2022_ND-CP_508011.doc
